"id","code","name","country_id"
state_ch_1,"ZH","Zürich","CH"
state_ch_2,"BE","Bern","CH"
state_ch_3,"LU","Luzern","CH"
state_ch_4,"UR","Uri","CH"
state_ch_5,"SZ","Schwyz","CH"
state_ch_6,"OW","Obwalden","CH"
state_ch_7,"NW","Nidwalden","CH"
state_ch_8,"GL","Glarus","CH"
state_ch_9,"ZG","Zug","CH"
state_ch_10,"FR","Freiburg","CH"
state_ch_11,"SO","Solothurn","CH"
state_ch_12,"BS","Basel-Stadt","CH"
state_ch_13,"BL","Basel-Landschaft","CH"
state_ch_14,"SH","Schaffhausen","CH"
state_ch_15,"AR","Appenzell Ausserrhoden","CH"
state_ch_16,"AI","Appenzell Innerrhoden","CH"
state_ch_17,"SG","St. Gallen","CH"
state_ch_18,"GR","Graubünden","CH"
state_ch_19,"AG","Aargau","CH"
state_ch_20,"TG","Thurgau","CH"
state_ch_21,"TI","Tessin","CH"
state_ch_22,"VD","Waadt","CH"
state_ch_23,"VS","Wallis","CH"
state_ch_24,"NE","Neuenburg","CH"
state_ch_25,"GE","Genf","CH"
state_ch_26,"JU","Jura","CH"